origin,dest,km,days,expense,type,weight
50151,50733,97.903,3.263,3.427,road,3427
50152,50731,30.262,1.009,1.059,road,1059
50153,50184,102.662,3.422,3.593,road,3593
50153,50340,362.735,12.091,12.696,road,12696
50153,50739,196.623,6.554,6.882,road,6882
50154,50079,132.58,1.105,0.451,fastdown,451
50154,50375,57.614,1.92,2.016,road,2016
50154,50735,165.643,5.521,5.798,road,5798
50155,50119,74.594,4.973,0.507,upstream,507
50156,50032,87.684,2.923,3.069,road,3069
50156,50121,654.507,4.32,0.432,overseas,432
50156,50147,816.764,5.594,0.559,overseas,559
50156,50207,586.558,4.177,0.418,coastal,418
50156,50412,144.318,0.707,0.071,coastal,71
50157,50054,55.971,1.866,1.959,road,1959
50157,50057,121.109,4.037,4.239,road,4239
50157,50063,121.054,4.035,4.237,road,4237
50157,50459,159.737,5.325,5.591,road,5591
50158,50276,172.693,11.513,1.174,upstream,1174
50158,50403,180.872,4.019,0.615,downstream,615
50158,50769,120.236,4.008,4.208,road,4208
50159,50086,169.366,1.146,0.115,coastal,115
50159,50469,75.988,0.611,0.061,coastal,61
50159,50535,68.218,0.472,0.047,coastal,47
50159,50750,34.517,1.151,1.208,road,1208
50160,50133,138.849,4.628,4.86,road,4860
50160,50232,103.619,3.454,3.627,road,3627
50160,50249,101.169,3.372,3.541,road,3541
50160,50303,73.306,0.611,0.249,fastdown,249
50161,50067,39.775,1.326,1.392,road,1392
50161,50275,225.509,7.517,7.893,road,7893
50161,50338,51.924,1.731,1.817,road,1817
50161,50428,84.846,2.828,2.97,road,2970
50162,50050,30.972,0.195,0.019,coastal,19
50162,50386,46.217,1.541,1.618,road,1618
50162,50550,63.549,0.268,0.027,coastal,27
50163,50208,175.495,5.85,6.142,road,6142
50163,50470,260.004,8.667,9.1,road,9100
50163,50726,223.507,7.45,7.823,road,7823
50163,50727,21.155,0.705,0.74,road,740
50164,50170,79.669,0.664,0.271,fastdown,271
50164,50190,100.411,3.347,3.514,road,3514
50165,50213,25.617,0.854,0.897,road,897
50165,50243,17.566,0.586,0.615,road,615
50166,50034,105.86,3.529,3.705,road,3705
50166,50114,68.903,2.297,2.412,road,2412
50166,50361,173.8,5.793,6.083,road,6083
50167,50065,175.803,1.191,0.119,coastal,119
50167,50264,141.066,0.877,0.088,coastal,88
50168,50315,21.482,0.716,0.752,road,752
50168,50402,33.121,1.104,1.159,road,1159
50169,50050,367.978,2.749,0.275,coastal,275
50169,50245,21.188,0.706,0.742,road,742
50169,50363,249.303,1.66,0.166,coastal,166
50169,50573,212.307,1.442,0.144,coastal,144
50169,50588,134.778,1.174,0.117,coastal,117
50169,50590,382.369,2.802,0.28,coastal,280
50169,50598,46.841,0.254,0.025,coastal,25
50169,50613,242.042,1.178,0.118,coastal,118
50170,50026,80.267,0.669,0.273,fastdown,273
50170,50164,79.669,5.311,0.542,upstream,542
50170,50771,14.483,0.483,0.507,road,507
50171,50022,68.254,0.486,0.049,coastal,49
50171,50042,61.409,0.549,0.055,coastal,55
50171,50366,145.115,4.837,5.079,road,5079
50172,50042,62.184,2.073,2.176,road,2176
50172,50078,48.58,1.619,1.7,road,1700
50172,50174,84.17,2.806,2.946,road,2946
50173,50177,27.938,0.931,0.978,road,978
50173,50327,70.543,2.351,2.469,road,2469
50174,50043,67.739,2.258,2.371,road,2371
50174,50078,87.732,2.924,3.071,road,3071
50174,50172,84.17,2.806,2.946,road,2946
50174,50307,87.221,1.342,0.297,downstream,297
50174,50308,34.578,1.153,1.21,road,1210
50175,50255,30.309,0.227,0.023,coastal,23
50175,50378,39.936,0.378,0.038,coastal,38
50176,50031,110.835,3.695,3.879,road,3879
50176,50183,242.678,1.56,0.156,coastal,156
50176,50250,175.82,1.381,0.138,coastal,138
50177,50109,28.736,0.958,1.006,road,1006
50177,50173,27.938,0.931,0.978,road,978
50178,50304,24.233,0.808,0.848,road,848
50178,50346,60.628,2.021,2.122,road,2122
50179,50011,142.193,1.26,0.126,coastal,126
50179,50199,124.981,0.633,0.063,coastal,63
50179,50283,505.527,4.315,0.431,overseas,431
50179,50396,99.695,0.623,0.062,ferry,62
50179,50486,1708.741,14.181,1.418,overseas,1418
50179,50516,2303.24,17.773,1.777,overseas,1777
50179,50713,248.891,2.932,0.293,coastal,293
50180,50240,88.611,2.954,3.101,road,3101
50180,50249,86.969,2.899,3.044,road,3044
50181,50046,28.21,0.207,0.021,coastal,21
50181,50302,182.717,6.091,6.395,road,6395
50181,50654,49.562,0.285,0.029,coastal,29
50182,50003,81.192,2.706,2.842,road,2842
50182,50236,59.858,1.995,2.095,road,2095
50182,50418,147.734,4.924,5.171,road,5171
50183,50144,60.928,2.031,2.132,road,2132
50183,50176,242.678,1.907,0.191,coastal,191
50183,50241,122.423,0.826,0.083,coastal,83
50184,50023,121.273,4.042,4.245,road,4245
50184,50153,102.662,3.422,3.593,road,3593
50185,50235,193.789,1.172,0.117,coastal,117
50185,50238,293.28,1.857,0.186,coastal,186
50185,50270,99.922,3.331,3.497,road,3497
50185,50303,475.271,3.314,0.331,overseas,331
50185,50330,84.117,0.711,0.071,slowcoast,71
50185,50337,106.506,3.55,3.728,road,3728
50185,50462,155.948,1.249,0.125,coastal,125
50186,50032,59.047,1.968,2.067,road,2067
50186,50207,79.466,0.455,0.045,coastal,45
50186,50365,91.253,3.042,3.194,road,3194
50186,50730,49.61,1.654,1.736,road,1736
50187,50301,149.217,4.974,5.223,road,5223
50187,50751,79.662,2.655,2.788,road,2788
50188,50107,146.781,4.893,5.137,road,5137
50188,50369,160.671,5.356,5.623,road,5623
50188,50374,307.053,10.235,10.747,road,10747
50188,50495,125.592,0.875,0.088,coastal,88
50188,50498,110.178,0.72,0.072,coastal,72
50189,50254,32.62,1.087,1.142,road,1142
50189,50297,167.973,5.599,5.879,road,5879
50190,50140,77.471,2.582,2.711,road,2711
50190,50164,100.411,3.347,3.514,road,3514
50191,50296,131.948,4.398,4.618,road,4618
50191,50367,87.333,2.911,3.057,road,3057
50191,50750,176.892,5.896,6.191,road,6191
50192,50028,47.703,0.477,0.162,downstream,162
50192,50288,52.114,1.042,0.354,fastup,354
50192,50661,45.734,0.915,0.311,fastup,311
50193,50009,50.442,1.681,1.765,road,1765
50193,50102,39.183,1.306,1.371,road,1371
50194,50244,97.381,1.948,0.662,fastup,662
50194,50288,109.17,0.91,0.371,fastdown,371
50195,50217,164.452,5.482,5.756,road,5756
50195,50258,85.603,2.853,2.996,road,2996
50196,50017,62.009,0.517,0.211,fastdown,211
50196,50267,22.688,0.454,0.154,fastup,154
50196,50297,214.9,4.298,1.461,fastup,1461
50197,50373,129.605,1.08,0.441,fastdown,441
50198,50329,127.213,0.816,0.082,coastal,82
50198,50384,74.042,2.468,2.591,road,2591
